trade_date,symbol,name,earnings_yield_pct,pe_zscore_5y,pb_zscore_5y,pe_percentile_5y,pb_percentile_5y,dividend_yield_percentile_5y,equity_risk_premium_pct,equity_bond_yield_ratio,dividend_bond_spread_pct,valuation_temperature
2026-05-27,000688,科创50,0.6895,1.491,-0.0214,85.84,59.2,33.84,-1.0321,0.4005,-1.183,68.52
2026-05-27,000852,中证1000,1.8364,2.0932,0.1345,96.16,47.92,54.0,0.1148,1.0667,-0.4998,62.28
2026-05-27,000905,中证500,2.9482,0.8046,1.613,93.28,90.72,10.72,1.2266,1.7125,-0.1566,86.92
2026-05-27,000922,中证红利,8.5771,1.4348,-0.6415,91.12,22.56,7.04,6.8555,4.982,2.5764,72.72
2026-05-27,000985,中证全指,0.8086,1.0958,0.9897,92.56,83.12,8.8,-0.913,0.4697,-0.6995,80.52
2026-05-27,399001,深证成指,1.9915,0.4122,0.4682,96.72,66.0,34.24,0.2699,1.1568,-0.3192,76.26
2026-05-27,399006,创业板指,1.3854,3.3799,0.569,99.28,69.68,50.56,-0.3362,0.8047,-0.8362,75.68
2026-05-28,000001,上证指数,0.8285,3.7531,0.647,98.72,73.76,4.72,-0.8908,0.4819,-0.4953,91.14
2026-05-28,000300,沪深300,4.5274,2.1851,-1.1988,98.4,11.44,69.92,2.8081,2.6333,0.5604,54.62
2026-05-28,000688,科创50,0.6934,1.4698,-0.0045,85.44,60.24,33.44,-1.0259,0.4033,-1.1817,68.62
2026-05-28,000852,中证1000,1.8521,2.0234,0.1209,95.92,47.2,55.28,0.1328,1.0772,-0.4908,61.02
2026-05-28,000905,中证500,2.9756,0.7671,1.5818,91.84,90.24,12.08,1.2563,1.7307,-0.1407,85.76
2026-05-28,000922,中证红利,8.6359,1.373,-0.6589,90.16,21.76,7.92,6.9166,5.0229,2.6056,71.54
2026-05-28,000985,中证全指,0.8246,1.0372,1.0143,90.88,83.44,9.12,-0.8947,0.4796,-0.6946,79.5
2026-05-28,399001,深证成指,2.0097,0.3981,0.4531,96.4,65.2,35.76,0.2904,1.1689,-0.305,75.38
2026-05-28,399006,创业板指,1.3864,3.3628,0.5448,99.04,69.36,51.28,-0.3329,0.8064,-0.8292,75.32
2026-05-29,000001,上证指数,0.8277,3.735,0.5633,98.72,69.76,5.04,-0.8813,0.4843,-0.4831,90.04
2026-05-29,000300,沪深300,4.5203,2.1971,-1.1129,98.48,14.4,65.28,2.8113,2.645,0.5468,56.5
2026-05-29,000688,科创50,0.6884,1.4922,-0.1237,85.84,53.2,37.92,-1.0206,0.4028,-1.1609,65.6
2026-05-29,000852,中证1000,1.8572,1.9998,0.0797,95.76,45.36,55.68,0.1482,1.0867,-0.4783,59.94
2026-05-29,000905,中证500,2.986,0.753,1.5669,91.68,89.76,11.28,1.277,1.7472,-0.1359,85.58
2026-05-29,000922,中证红利,8.5166,1.4942,-0.4774,92.4,36.24,6.0,6.8076,4.9834,2.556,77.14
2026-05-29,000985,中证全指,0.83,1.017,0.8911,90.72,81.36,10.48,-0.879,0.4857,-0.6782,78.2
2026-05-29,399001,深证成指,2.0462,0.3711,0.4311,95.6,64.16,35.44,0.3372,1.1973,-0.2957,74.86
2026-05-29,399006,创业板指,1.4137,3.2092,0.4581,98.56,68.32,54.08,-0.2953,0.8272,-0.8087,73.86
2026-06-01,000001,上证指数,0.8224,3.7511,0.7355,98.72,76.88,2.32,-0.8785,0.4835,-0.4921,92.48
